Date,Open,High,Low,Close,Adj Close,Volume,mean_weighted_sentiment,num_tweets
1/1/2022,46311.74609,47827.3125,46288.48438,47686.8125,47686.8125,24582667004,0.100179437,13259
1/2/2022,47680.92578,47881.40625,46856.9375,47345.21875,47345.21875,27951569547,0.076258979,14544
1/3/2022,47343.54297,47510.72656,45835.96484,46458.11719,46458.11719,33071628362,0.075940797,22219
1/4/2022,46458.85156,47406.54688,45752.46484,45897.57422,45897.57422,42494677905,0.074601326,18951
1/5/2022,45899.35938,46929.04688,42798.22266,43569.00391,43569.00391,36851084859,0.060661481,23294
1/6/2022,43565.51172,43748.71875,42645.53906,43160.92969,43160.92969,30208048289,0.031308592,25576
1/7/2022,43153.57031,43153.57031,41077.44531,41557.90234,41557.90234,84196607520,0.043346284,25579
1/8/2022,41561.46484,42228.94141,40672.27734,41733.94141,41733.94141,28066355845,0.035276357,20416
1/9/2022,41734.72656,42663.94922,41338.16016,41911.60156,41911.60156,21294384372,0.063756508,17146
1/10/2022,41910.23047,42199.48438,39796.57031,41821.26172,41821.26172,32104232331,0.051472469,23850
1/11/2022,41819.50781,43001.15625,41407.75391,42735.85547,42735.85547,26327648900,0.071061362,21289
1/12/2022,42742.17969,44135.36719,42528.98828,43949.10156,43949.10156,33499938689,0.068881893,22115
1/13/2022,43946.74219,44278.42188,42447.04297,42591.57031,42591.57031,47691135082,0.080315006,19992
1/14/2022,42598.87109,43346.6875,41982.61719,43099.69922,43099.69922,23577403399,0.060098826,18481
1/15/2022,43101.89844,43724.67188,42669.03516,43177.39844,43177.39844,18371348298,0.066167824,14746
1/16/2022,43172.03906,43436.80859,42691.02344,43113.87891,43113.87891,17902097845,0.076585122,14440
1/17/2022,43118.12109,43179.39063,41680.32031,42250.55078,42250.55078,21690904261,0.065241858,18028
1/18/2022,42250.07422,42534.40234,41392.21484,42375.63281,42375.63281,22417209227,0.074465397,20082
1/19/2022,42374.03906,42478.30469,41242.91406,41744.32813,41744.32813,23091543258,0.071927088,20012
1/20/2022,41744.02734,43413.02344,40672.82422,40680.41797,40680.41797,20382033940,0.065783906,23489
1/21/2022,40699.60547,41060.52734,35791.42578,36457.31641,36457.31641,43011992031,0.006722967,36025
1/22/2022,36471.58984,36688.8125,34349.25,35030.25,35030.25,39714385405,0.020088633,32911
1/23/2022,35047.35938,36433.3125,34784.96875,36276.80469,36276.80469,26017975951,0.052573651,21228
